,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
119,"Fica Comigo","João Gomes",127072,https://open.spotify.com/track/5wIXzJXnU2HC79kYJIXPt3
120,Butter,BTS,126471,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
121,"Ele Não Tem","Jonas Esticado",126168,https://open.spotify.com/track/1JHvLQWHUoYuapwQikeDuD
122,"Estado Frágil - Ao Vivo","Marcos & Belutti",125522,https://open.spotify.com/track/6XSXOvojEslvbqBCh7IP8Z
123,"Que Nem Vovô","João Gomes",125519,https://open.spotify.com/track/2nJVGaiVN4mG9da9dcB6mH
124,"Proteção de Tela","Tarcísio do Acordeon",125427,https://open.spotify.com/track/7h8osXb4nNo72fzOf1P1yF
125,"Lance Individual","Jorge & Mateus",124753,https://open.spotify.com/track/000RW47rhEkSqjgTrZx7YX
126,"The Business",Tiësto,124451,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
127,"favorite crime","Olivia Rodrigo",124270,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
128,"Não Quer Chifre","Mc Frog",124216,https://open.spotify.com/track/7Ls0AYtBWAJtt7iORFc6zC
129,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",123546,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk
130,"No Llores Más","Simone & Simaria",123480,https://open.spotify.com/track/0C3hl4giyPEnDQf2IlWpk2
131,Saturno,BIN,123027,https://open.spotify.com/track/68cPbG7hJnwDW9nPX1uQcX
132,"Don't Say Goodbye (feat. Tove Lo)",Alok,122978,https://open.spotify.com/track/0GTPmh5G40joBg93vcSQNq
133,"Eu Tenho Medo","Zé Vaqueiro",122932,https://open.spotify.com/track/7yjduLSgPntFlq79Cuzrfz
134,"Amor e Fé - Acústico","Hungria Hip Hop",121028,https://open.spotify.com/track/5ra6CI0pEzqjxPEZeBz0d7
135,"Volta Bebê, Volta Neném","Dj Guuga",120029,https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
136,"Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo","Grupo Menos É Mais",119382,https://open.spotify.com/track/5r9CZJMoMmxio2AnJdxuDS
137,"Esqueceu Foi Porra","Eric Land",117841,https://open.spotify.com/track/2xlw13Ns5yz9XZGtfnpPN9
138,"Assault (Rio)","Mc Poze do Rodo",117372,https://open.spotify.com/track/4FOf88scN5qTRGXc55tGJ0
139,NDA,"Billie Eilish",116439,https://open.spotify.com/track/38GBNKZUhfBkk3oNlWzRYd
140,"Bom Dia","Nêgo Jhá",116265,https://open.spotify.com/track/4A0vKKkbHRVJc7vIVnEoop
141,"Recairei - Ao Vivo","Os Barões Da Pisadinha",115824,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
142,"2000 s2","Luísa Sonza",115271,https://open.spotify.com/track/1rv1fNsmwgY2nXAUmF3JBb
143,Deboche,"Mc Davi",115082,https://open.spotify.com/track/1ZW2jCyFX0WrZfIJjkWq3j
